coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
262,3248,2982,1241,717,586,Medulla,left
262,3251,3014,1242,716,595,Medulla,left
262,3268,3153,1245,716,630,Inferior olivary complex,left
262,3287,3137,1244,721,625,Inferior olivary complex,left
267,3217,2992,1241,707,588,Inferior olivary complex,left
267,2524,3223,1243,541,636,Nucleus of the solitary tract,left
267,3137,2980,1242,687,584,Inferior olivary complex,left
267,3140,2874,1244,692,557,Inferior olivary complex,right
267,3215,2939,1240,708,574,Inferior olivary complex,left
263,3179,2979,1243,699,585,Inferior olivary complex,left
263,3218,3039,1243,707,601,Inferior olivary complex,left
263,3239,3124,1245,709,622,Inferior olivary complex,left
263,3212,3003,1243,706,592,Inferior olivary complex,left
263,3244,3031,1242,713,599,Medulla,left
264,3144,2994,1244,690,589,Inferior olivary complex,left
264,3114,2945,1245,685,575,Inferior olivary complex,left
265,3148,2955,1244,693,578,Inferior olivary complex,left
265,3189,2969,1243,702,582,Inferior olivary complex,left
266,2488,3320,1244,534,656,Nucleus of the solitary tract,left
266,3198,3056,1243,701,604,Inferior olivary complex,left
266,2375,3371,1246,509,667,Parasolitary nucleus,left
266,2418,3404,1244,519,674,Parasolitary nucleus,left
266,3111,2884,1245,685,560,Inferior olivary complex,right
266,3198,2945,1242,705,575,Inferior olivary complex,left
266,3191,2950,1242,702,577,Inferior olivary complex,left
266,3193,3254,1250,697,649,Medulla,left
268,3037,2718,1255,677,526,Medulla,right
268,3197,2957,1241,703,578,Inferior olivary complex,left
268,3085,3133,1244,670,620,Medulla,left
268,2508,3786,1242,540,751,"Spinal nucleus of the trigeminal, interpolar part",left
269,2494,3288,1243,535,649,Nucleus of the solitary tract,left
269,3164,2975,1242,695,583,Inferior olivary complex,left
269,3182,2959,1242,699,579,Inferior olivary complex,left
269,3223,3086,1242,706,612,Inferior olivary complex,left
270,3131,2987,1242,685,585,Inferior olivary complex,left
270,3148,2973,1241,691,583,Inferior olivary complex,left
270,3176,2967,1241,697,580,Inferior olivary complex,left
270,3193,2980,1241,702,585,Inferior olivary complex,left
270,3180,2940,1241,699,574,Inferior olivary complex,left
273,3193,2968,1240,701,582,Inferior olivary complex,left
273,2839,3980,1240,612,792,"Spinal nucleus of the trigeminal, interpolar part",left
273,3136,2979,1241,686,584,Inferior olivary complex,left
273,2413,3464,1242,518,686,Medulla,left
273,2762,3546,1240,596,703,Parvicellular reticular nucleus,left
273,3161,2960,1241,693,579,Inferior olivary complex,left
273,3223,2981,1238,708,585,Inferior olivary complex,left
273,3227,2963,1238,709,581,Inferior olivary complex,left
273,3238,3076,1240,709,609,Inferior olivary complex,left
273,3241,2989,1238,712,587,Inferior olivary complex,left
273,3336,3236,1240,732,648,Inferior olivary complex,left
273,3354,3318,1243,739,668,Medulla,left
273,3355,3275,1241,738,657,Medulla,left
273,3365,3310,1242,741,666,Medulla,left
273,3367,3268,1240,740,657,Medulla,left
